participant,average_speed_2000m,spm,split_running_time,sex,type_participant
AZE,14.4,35,4552,F,Athlete olympique
MEX,15.8,39,4520,F,Athlete olympique
RSA,16.2,38,4478,F,Athlete olympique
SRB,16.2,34,4461,F,Athlete olympique
SLO,15.1,32,4590,F,Athlete olympique
BRA,14.8,36,4513,F,Athlete olympique
INA,17.3,42,4222,M,Athlete olympique
TUN,16.2,38,4203,M,Athlete olympique
BER,15.8,35,4231,M,Athlete olympique
KAZ,19.1,43,4194,M,Athlete olympique
ZIM,15.8,37,4293,M,Athlete olympique
THA,15.8,36,4386,M,Athlete olympique
GRE,14.8,29,4221,M,Athlete olympique
AIN,18.0,43,4456,F,Athlete olympique
GER,17.6,39,4435,F,Athlete olympique
NED,15.8,36,4047,M,Athlete olympique
NZL,15.1,33,4096,M,Athlete olympique
BEL,18.0,43,4084,M,Athlete olympique
CRO,18.4,40,4178,M,Athlete olympique
ROU,18.0,42,4048,M,Athlete olympique
JPN,17.6,39,4070,M,Athlete olympique
DEN,18.0,39,4048,M,Athlete olympique
URU,10.8,27,4427,M,Athlete olympique
LTU,16.9,40,4409,F,Athlete olympique
AUT,15.1,36,4505,F,Athlete olympique
SUI,15.8,34,4470,F,Athlete olympique
GER,16.2,37,3976,M,Athlete olympique
UZB,15.5,35,4536,F,Athlete olympique
AIN,16.6,39,4030,M,Athlete olympique
ESP,15.1,33,4546,F,Athlete olympique
BUL,15.5,35,4532,F,Athlete olympique
AUS,15.5,37,4414,F,Athlete olympique
NED,15.8,36,4373,F,Athlete olympique
NZL,15.5,33,4391,F,Athlete olympique
LTU,15.5,39,4164,M,Athlete olympique
USA,15.8,37,4451,F,Athlete olympique
